               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.020567,           0.0072664,                   0,                   1,                   1,               0.995,             0.85042,           0.0091111,           0.0023812,                   0,           0.0097059,           0.0097059,           0.0097059
                  83,            0.021926,           0.0071867,                   0,             0.99996,                   1,               0.995,             0.81726,            0.010468,           0.0024226,                   0,           0.0096987,           0.0096987,           0.0096987
                  84,            0.020264,           0.0075339,                   0,             0.99996,                   1,               0.995,             0.85944,           0.0092041,           0.0024359,                   0,           0.0096914,           0.0096914,           0.0096914
                  85,            0.018891,           0.0071576,                   0,             0.99999,                   1,               0.995,             0.85472,           0.0096594,           0.0024222,                   0,            0.009684,            0.009684,            0.009684
                  86,             0.02048,           0.0076466,                   0,                   1,             0.99994,               0.995,             0.86615,           0.0093787,           0.0025617,                   0,           0.0096765,           0.0096765,           0.0096765
                  87,            0.022429,           0.0067725,                   0,             0.99998,                   1,               0.995,             0.82907,            0.010036,           0.0025568,                   0,            0.009669,            0.009669,            0.009669
                  88,             0.02136,           0.0076185,                   0,             0.99999,                   1,               0.995,             0.84957,           0.0093848,           0.0026443,                   0,           0.0096613,           0.0096613,           0.0096613
                  89,            0.020217,           0.0072574,                   0,             0.99999,                   1,               0.995,             0.83736,            0.010036,           0.0027001,                   0,           0.0096536,           0.0096536,           0.0096536
                  90,            0.021407,           0.0075677,                   0,             0.99996,                   1,               0.995,             0.85865,           0.0092056,           0.0024689,                   0,           0.0096458,           0.0096458,           0.0096458
                  91,            0.020164,           0.0072965,                   0,             0.99998,                   1,               0.995,             0.87475,           0.0097218,           0.0025983,                   0,           0.0096379,           0.0096379,           0.0096379
                  92,            0.021263,           0.0070973,                   0,             0.99996,                   1,               0.995,             0.84311,           0.0093673,           0.0024829,                   0,           0.0096299,           0.0096299,           0.0096299
                  93,            0.019014,           0.0073825,                   0,             0.99997,                   1,               0.995,             0.86283,           0.0098167,           0.0025145,                   0,           0.0096218,           0.0096218,           0.0096218
                  94,            0.019036,           0.0074386,                   0,             0.99998,                   1,               0.995,             0.87068,           0.0093808,           0.0026009,                   0,           0.0096137,           0.0096137,           0.0096137
